V number,R core,R cladding,n core,n cladding,NA,LP02effb,LP02effa,LP21effd,LP21effc,LP21effb,LP21effa,LP11effd,LP11effc,LP11effb,LP11effa,LP01effb,LP01effa,Eff area02b,Eff area02a,Eff area21d,Eff area21c,Eff area21b,Eff area21a,Eff area11d,Eff area11c,Eff area11b,Eff area11a,Eff area01b,Eff area01a,dneffaa1,dneffab1,dneffac1,dneffad1,dneffba1,dneffbb1,dneffbc1,dneffbd1,dneffaa2,dneffbb2,dneffcc2,dneffdd2,dneffaa3,dneffba3,dneffca3,dneffda3,dneffab3,dneffbb3,dneffcb3,dneffdb3
4.1,7.68E-06,6.25E-05,1.45,1.444,0.131773,1.4441,1.4441,1.4444,1.4444,1.4444,1.4444,1.4468,1.4468,1.4468,1.4468,1.4487,1.4487,7.37E-11,7.01E-11,1.14E-10,7.89E-11,8.26E-11,7.52E-11,1.09E-10,1.08E-10,1.15E-10,7.80E-11,1.07E-10,1.07E-10,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0024,0.0024,0.0024,0.0024,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
4.1,7.61E-06,6.25E-05,1.4501,1.444,0.132868,1.4441,1.4441,1.4444,1.4444,1.4444,1.4444,1.4468,1.4468,1.4468,1.4468,1.4488,1.4488,7.25E-11,6.90E-11,1.05E-10,7.55E-11,7.88E-11,7.88E-11,1.12E-10,1.07E-10,9.25E-11,7.43E-11,1.05E-10,1.05E-10,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0024,0.0024,0.0024,0.0024,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
4.1,7.55E-06,6.25E-05,1.4502,1.444,0.133955,1.4441,1.4441,1.4444,1.4444,1.4445,1.4445,1.4468,1.4468,1.4468,1.4468,1.4488,1.4488,7.13E-11,6.78E-11,8.83E-11,8.85E-11,9.17E-11,8.39E-11,1.10E-10,1.08E-10,6.91E-11,1.09E-10,1.03E-10,1.03E-10,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0023,0.0023,0.0024,0.0024,0.0004,0.0004,0.0003,0.0003,0.0004,0.0004,0.0003,0.0003
4.1,7.49E-06,6.25E-05,1.4503,1.444,0.135034,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4469,1.4469,1.4469,1.4469,1.4489,1.4489,7.02E-11,6.67E-11,8.14E-11,7.40E-11,7.47E-11,9.49E-11,1.06E-10,1.08E-10,8.45E-11,7.65E-11,1.02E-10,1.02E-10,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0024,0.0024,0.0024,0.0024,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.43E-06,6.25E-05,1.4504,1.444,0.136103,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4469,1.4469,1.4469,1.4469,1.449,1.449,6.91E-11,6.57E-11,1.03E-10,7.52E-11,7.68E-11,7.31E-11,1.00E-10,8.64E-11,8.55E-11,7.41E-11,9.97E-11,9.99E-11,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0024,0.0024,0.0024,0.0024,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.37E-06,6.25E-05,1.4505,1.444,0.137165,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.447,1.447,1.447,1.447,1.4491,1.4491,6.61E-11,6.50E-11,8.35E-11,7.26E-11,6.87E-11,7.44E-11,1.03E-10,8.74E-11,6.17E-11,1.02E-10,9.81E-11,9.84E-11,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0025,0.0025,0.0025,0.0025,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.32E-06,6.25E-05,1.4506,1.444,0.138219,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.447,1.447,1.447,1.447,1.4492,1.4492,6.70E-11,6.37E-11,9.27E-11,7.21E-11,7.00E-11,7.01E-11,1.04E-10,8.77E-11,6.06E-11,8.99E-11,9.68E-11,9.70E-11,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0025,0.0025,0.0025,0.0025,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.26E-06,6.25E-05,1.4507,1.444,0.139264,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4471,1.4471,1.4471,1.4471,1.4492,1.4492,6.70E-11,6.37E-11,9.27E-11,7.21E-11,7.00E-11,7.01E-11,1.04E-10,8.77E-11,6.06E-11,8.99E-11,9.68E-11,9.70E-11,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0021,0.0026,0.0026,0.0026,0.0026,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.21E-06,6.25E-05,1.4508,1.444,0.140302,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4471,1.4471,1.4471,1.4471,1.4493,1.4493,6.50E-11,6.18E-11,9.12E-11,6.99E-11,6.43E-11,6.34E-11,1.01E-10,8.27E-11,6.09E-11,8.40E-11,9.39E-11,9.41E-11,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0026,0.0026,0.0026,0.0026,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
4.1,7.16E-06,6.25E-05,1.4509,1.444,0.141332,1.4441,1.4441,1.4445,1.4445,1.4445,1.4445,1.4472,1.4472,1.4472,1.4472,1.4494,1.4494,6.23E-11,6.12E-11,7.17E-11,6.90E-11,6.40E-11,6.37E-11,9.85E-11,9.05E-11,6.03E-11,9.45E-11,9.27E-11,9.28E-11,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0027,0.0027,0.0027,0.0027,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
