V number,R core,R cladding, n core,n cladding,NA,LP01 eff,LP11 eff,LP21 eff,LP02 eff,dneff1,dneff2,dneff3,,,,,,,,,,,,,
4.1,7.68E-06,6.25E-05,1.45,1.444,0.131773,1.4487,1.4468,1.4444,1.4441,0.0019,0.0024,0.0003,,,,,,,,,,,,,
4.1,7.61E-06,6.25E-05,1.4501,1.444,0.132868,1.4488,1.4468,1.4444,1.4441,0.002,0.0024,0.0003,,,,,,,,,,,,,
4.1,7.55E-06,6.25E-05,1.4502,1.444,0.133955,1.4488,1.4468,1.44445,1.4441,0.002,0.00235,0.00035,,,,,,,,,,,,,
4.1,7.49E-06,6.25E-05,1.4503,1.444,0.135034,1.4489,1.4469,1.4445,1.4441,0.002,0.0024,0.0004,,,,,,,,,,,,,
4.1,7.43E-06,6.25E-05,1.4504,1.444,0.136103,1.449,1.4469,1.4445,1.4441,0.0021,0.0024,0.0004,,,,,,,,,,,,,
4.1,7.37E-06,6.25E-05,1.4505,1.444,0.137165,1.4491,1.447,1.4445,1.4441,0.0021,0.0025,0.0004,,,,,,,,,,,,,
4.1,7.32E-06,6.25E-05,1.4506,1.444,0.138219,1.4492,1.447,1.4445,1.4441,0.0022,0.0025,0.0004,,,,,,,,,,,,,
4.1,7.26E-06,6.25E-05,1.4507,1.444,0.139264,1.4492,1.4471,1.4445,1.4441,0.0021,0.0026,0.0004,,,,,,,,,,,,,
4.1,7.21E-06,6.25E-05,1.4508,1.444,0.140302,1.4493,1.4471,1.4445,1.4441,0.0022,0.0026,0.0004,,,,,,,,,,,,,
4.1,7.16E-06,6.25E-05,1.4509,1.444,0.141332,1.4494,1.4472,1.4445,1.4441,0.0022,0.0027,0.0004,,,,,,,,,,,,,
4.1,7.10E-06,6.25E-05,1.451,1.444,0.142355,1.4495,1.4472,1.4445,1.4441,0.0023,0.0027,0.0004,,,,,,,,,,,,,
4.1,7.05E-06,6.25E-05,1.4511,1.444,0.143371,1.4495,1.4473,1.4445,1.4441,0.0022,0.0028,0.0004,,,,,,,,,,,,,
4.1,7.01E-06,6.25E-05,1.4512,1.444,0.144379,1.4496,1.4473,1.4445,1.4441,0.0023,0.0028,0.0004,,,,,,,,,,,,,
4.1,6.96E-06,6.25E-05,1.4513,1.444,0.145381,1.4497,1.4474,1.4445,1.4441,0.0023,0.0029,0.0004,,,,,,,,,,,,,
4.1,6.91E-06,6.25E-05,1.4514,1.444,0.146376,1.4498,1.4474,1.4445,1.4441,0.0024,0.0029,0.0004,,,,,,,,,,,,,
4.1,6.86E-06,6.25E-05,1.4515,1.444,0.147364,1.4449,1.4474,1.4445,1.4441,-0.0025,0.0029,0.0004,,,,,,,,,,,,,
4.1,6.82E-06,6.25E-05,1.4516,1.444,0.148346,1.4449,1.4475,1.4445,1.4441,-0.0026,0.003,0.0004,,,,,,,,,,,,,
4.1,6.77E-06,6.25E-05,1.4517,1.444,0.149321,1.45,1.4475,1.4446,1.4441,0.0025,0.0029,0.0005,,,,,,,,,,,,,
4.1,6.73E-06,6.25E-05,1.4518,1.444,0.150291,1.4501,1.4476,1.4446,1.4441,0.0025,0.003,0.0005,,,,,,,,,,,,,
4.1,6.69E-06,6.25E-05,1.4519,1.444,0.151253,1.4502,1.4476,1.4446,1.4441,0.0026,0.003,0.0005,,,,,,,,,,,,,
4.1,6.64E-06,6.25E-05,1.452,1.444,0.15221,1.4502,1.4477,1.4446,1.4441,0.0025,0.0031,0.0005,,,,,,,,,,,,,
4.1,6.60E-06,6.25E-05,1.4521,1.444,0.153161,1.4503,1.4477,1.4446,1.4441,0.0026,0.0031,0.0005,,,,,,,,,,,,,
4.1,6.56E-06,6.25E-05,1.4522,1.444,0.154107,1.4504,1.4478,1.4446,1.4441,0.0026,0.0032,0.0005,,,,,,,,,,,,,
4.1,6.52E-06,6.25E-05,1.4523,1.444,0.155046,1.4505,1.4478,1.4446,1.4441,0.0027,0.0032,0.0005,,,,,,,,,,,,,
4.1,6.48E-06,6.25E-05,1.4524,1.444,0.15598,1.4506,1.4478,1.4446,1.4441,0.0028,0.0032,0.0005,,,,,,,,,,,,,
4.1,6.45E-06,6.25E-05,1.4525,1.444,0.156908,1.4506,1.4479,1.4446,1.4441,0.0027,0.0033,0.0005,,,,,,,,,,,,,
4.1,6.41E-06,6.25E-05,1.4526,1.444,0.157831,1.4507,1.4479,1.4446,1.4441,0.0028,0.0033,0.0005,,,,,,,,,,,,,
4.1,6.37E-06,6.25E-05,1.4527,1.444,0.158749,1.4508,1.448,1.4446,1.4441,0.0028,0.0034,0.0005,,,,,,,,,,,,,
4.1,6.33E-06,6.25E-05,1.4528,1.444,0.159662,1.4509,1.448,1.4446,1.4441,0.0029,0.0034,0.0005,,,,,,,,,,,,,
4.1,6.30E-06,6.25E-05,1.4529,1.444,0.160569,1.451,1.4481,1.44465,1.4441,0.0029,0.00345,0.00055,,,,,,,,,,,,,
4.1,6.26E-06,6.25E-05,1.453,1.444,0.161471,1.451,1.4481,1.44465,1.4441,0.0029,0.00345,0.00055,,,,,,,,,,,,,
4.1,6.23E-06,6.25E-05,1.4531,1.444,0.162369,1.4511,1.4482,1.44467,1.4441,0.0029,0.00353,0.00057,,,,,,,,,,,,,
4.1,6.20E-06,6.25E-05,1.4532,1.444,0.163261,1.4512,1.4482,1.4447,1.4441,0.003,0.0035,0.0006,,,,,,,,,,,,,
4.1,6.16E-06,6.25E-05,1.4533,1.444,0.164149,1.4513,1.4483,1.4447,1.4441,0.003,0.0036,0.0006,,,,,,,,,,,,,
4.1,6.13E-06,6.25E-05,1.4534,1.444,0.165032,1.4513,1.4483,1.4447,1.4441,0.003,0.0036,0.0006,,,,,,,,,,,,,
4.1,6.10E-06,6.25E-05,1.4535,1.444,0.16591,1.4514,1.4484,1.4447,1.4441,0.003,0.0037,0.0006,,,,,,,,,,,,,
4.1,6.06E-06,6.25E-05,1.4536,1.444,0.166784,1.4515,1.4484,1.4447,1.4441,0.0031,0.0037,0.0006,,,,,,,,,,,,,
4.1,6.03E-06,6.25E-05,1.4537,1.444,0.167653,1.4516,1.4485,1.4447,1.4441,0.0031,0.0038,0.0006,,,,,,,,,,,,,
4.1,6.00E-06,6.25E-05,1.4538,1.444,0.168518,1.4517,1.4485,1.4447,1.4441,0.0032,0.0038,0.0006,,,,,,,,,,,,,
4.1,5.97E-06,6.25E-05,1.4539,1.444,0.169379,1.4517,1.4485,1.4447,1.4441,0.0032,0.0038,0.0006,,,,,,,,,,,,,
4.1,5.94E-06,6.25E-05,1.454,1.444,0.170235,1.4518,1.4486,1.4447,1.4442,0.0032,0.0039,0.0005,,,,,,,,,,,,,
4.1,5.91E-06,6.25E-05,1.4541,1.444,0.171087,1.4519,1.4486,1.4447,1.4442,0.0033,0.0039,0.0005,,,,,,,,,,,,,
4.1,5.88E-06,6.25E-05,1.4542,1.444,0.171935,1.452,1.4487,1.4447,1.4442,0.0033,0.004,0.0005,,,,,,,,,,,,,
4.1,5.85E-06,6.25E-05,1.4543,1.444,0.172779,1.452,1.4487,1.4447,1.4442,0.0033,0.004,0.0005,,,,,,,,,,,,,
4.1,5.83E-06,6.25E-05,1.4544,1.444,0.173618,1.4521,1.4488,1.4448,1.4442,0.0033,0.004,0.0006,,,,,,,,,,,,,
4.1,5.80E-06,6.25E-05,1.4545,1.444,0.174454,1.4522,1.4488,1.4448,1.4442,0.0034,0.004,0.0006,,,,,,,,,,,,,
4.1,5.77E-06,6.25E-05,1.4546,1.444,0.175286,1.4523,1.4489,1.4448,1.4442,0.0034,0.0041,0.0006,,,,,,,,,,,,,
4.1,5.74E-06,6.25E-05,1.4547,1.444,0.176114,1.4524,1.4489,1.4448,1.4442,0.0035,0.0041,0.0006,,,,,,,,,,,,,
4.1,5.72E-06,6.25E-05,1.4548,1.444,0.176938,1.4524,1.449,1.4448,1.4442,0.0034,0.0042,0.0006,,,,,,,,,,,,,
4.1,5.69E-06,6.25E-05,1.4549,1.444,0.177758,1.4525,1.449,1.4448,1.4442,0.0035,0.0042,0.0006,,,,,,,,,,,,,
4.1,5.66E-06,6.25E-05,1.455,1.444,0.178575,1.4526,1.449,1.4448,1.4442,0.0036,0.0042,0.0006,,,,,,,,,,,,,
4.1,5.64E-06,6.25E-05,1.4551,1.444,0.179388,1.4527,1.4491,1.4448,1.4442,0.0036,0.0043,0.0006,,,,,,,,,,,,,
4.1,5.61E-06,6.25E-05,1.4552,1.444,0.180197,1.4527,1.4491,1.4448,1.4442,0.0036,0.0043,0.0006,,,,,,,,,,,,,
4.1,5.59E-06,6.25E-05,1.4553,1.444,0.181003,1.4528,1.4492,1.4448,1.4442,0.0036,0.0044,0.0006,,,,,,,,,,,,,
4.1,5.56E-06,6.25E-05,1.4554,1.444,0.181805,1.4529,1.4492,1.4448,1.4442,0.0037,0.0044,0.0006,,,,,,,,,,,,,
4.1,5.54E-06,6.25E-05,1.4555,1.444,0.182604,1.453,1.4493,1.4448,1.4442,0.0037,0.0045,0.0006,,,,,,,,,,,,,
4.1,5.51E-06,6.25E-05,1.4556,1.444,0.183399,1.4531,1.4493,1.4448,1.4442,0.0038,0.0045,0.0006,,,,,,,,,,,,,
4.1,5.49E-06,6.25E-05,1.4557,1.444,0.184191,1.4531,1.4494,1.4449,1.4442,0.0037,0.0045,0.0007,,,,,,,,,,,,,
